block_size,topic,paraphrase_idx,feature,mean,std,metric,metric_name
4,language_grammar,0,isolated_frac,0.0007440476190476189,0.0028382977819473,0.0028382977819473,std
4,language_grammar,0,d2_excess,-0.21798674543716304,0.9988032725047281,0.9988032725047281,std
4,language_grammar,1,drift,-0.3156525281438615,1.1446181004227316,1.1446181004227316,std
4,language_grammar,1,timing_cv,0.959499184285729,0.0974817097211438,0.10159644877000203,cv
4,language_grammar,1,mean_depth_excess,0.35994537188996933,0.5875284826421423,0.5875284826421423,std
4,language_grammar,1,isolated_frac,0.0010480012229610945,0.0032024816405864273,0.0032024816405864273,std
4,language_grammar,1,d2_excess,0.5537448533420513,0.46098257315742136,0.46098257315742136,std
4,language_grammar,2,drift,-0.1446333565488896,0.9305599096703246,0.9305599096703246,std
4,language_grammar,2,timing_cv,0.9016453181394225,0.09785853839334056,0.1085332962137209,cv
4,language_grammar,2,mean_depth_excess,0.052090791274345676,0.9393967139744331,0.9393967139744331,std
4,language_grammar,2,isolated_frac,0.0,0.0,0.0,std
4,language_grammar,2,d2_excess,0.11850286161348965,0.9674988685902906,0.9674988685902906,std
4,math_pythag,0,drift,0.16320115232205998,0.9340172085222511,0.9340172085222511,std
4,math_pythag,0,timing_cv,0.8919201172410234,0.07133897686033874,0.07998359436157984,cv
4,math_pythag,0,mean_depth_excess,0.6662032998994829,0.24140558093146092,0.24140558093146092,std
4,math_pythag,0,isolated_frac,0.00036630036630036635,0.002006309734451158,0.002006309734451158,std
4,math_pythag,0,d2_excess,0.9582638809485965,0.14011730024334496,0.14011730024334496,std
4,math_pythag,1,drift,-0.01759054336405327,0.99673798783018,0.99673798783018,std
4,math_pythag,1,timing_cv,0.8622372149649548,0.07569099998638845,0.0877844271538023,cv
4,math_pythag,1,mean_depth_excess,0.3689265427993393,0.5900269920386416,0.5900269920386416,std
4,math_pythag,1,isolated_frac,0.0,0.0,0.0,std
4,math_pythag,1,d2_excess,0.3013776480540617,0.5464887656135221,0.5464887656135221,std
4,math_pythag,2,drift,0.5003532334664335,0.9522830693294474,0.9522830693294474,std
4,math_pythag,2,timing_cv,0.8869500364121632,0.11749359295993249,0.1324692351727167,cv
4,math_pythag,2,mean_depth_excess,-1.0331340269411837,0.8146275047933452,0.8146275047933452,std
4,math_pythag,2,isolated_frac,0.0003367003367003367,0.0018441836953035902,0.0018441836953035902,std
4,math_pythag,2,d2_excess,-1.1725931306569495,0.9623286645996741,0.9623286645996741,std
4,music_notation,0,drift,-0.3351975763261441,1.1786796499085068,1.1786796499085068,std
4,music_notation,0,timing_cv,0.8900978925310902,0.0959309872687945,0.10777577171428224,cv
4,music_notation,0,mean_depth_excess,-0.48628050934843864,1.0272708319882486,1.0272708319882486,std
4,music_notation,0,isolated_frac,0.0007168458781362008,0.0027280444269081982,0.0027280444269081982,std
4,music_notation,0,d2_excess,-0.6934611901826506,1.1119629170210223,1.1119629170210223,std
4,music_notation,1,drift,-0.7505298501996476,1.0158822890734214,1.0158822890734214,std
4,music_notation,1,timing_cv,0.9726816288929357,0.11238082305854195,0.11553710866982135,cv
4,music_notation,1,mean_depth_excess,0.6717915840208686,0.7418711994849938,0.7418711994849938,std
4,music_notation,1,isolated_frac,0.0003831417624521073,0.002098553860173051,0.002098553860173051,std
4,music_notation,1,d2_excess,0.7987970671724176,0.4992180218770989,0.4992180218770989,std
4,music_notation,2,drift,-0.15929214268560146,1.1693387604433316,1.1693387604433316,std
4,music_notation,2,timing_cv,0.9208988888933761,0.15010846001239156,0.16300210785656782,cv
4,music_notation,2,mean_depth_excess,0.2880960046150102,0.969734264964576,0.969734264964576,std
4,music_notation,2,isolated_frac,0.0,0.0,0.0,std
