cancel_rate,drift,mean_depth,mean_depth_excess,d2_excess,timing_cv,isolated_frac,growth_rate,Q_tail_1,Q_tail_2,Q_tail_3,Q_tail_4,Q_tail_5,Q_tail_6,r_plus,r_squared,mean_rho,std_rho,mean_surp_inst,mean_surp_base,T_actual,topic,category,paraphrase_idx,seed,block_size,signal
0.28515625,0.008005238919465321,5.828125,-0.2816606260774188,-0.4189851898834781,0.7161789208817205,0.0136986301369863,0.4296875,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9490196078431372,0.9899324772250883,0.9877372911899698,0.32451266050338745,0.8679347038269043,0.47604936361312866,0.8005620241165161,256,control_chemistry_organic,control,0,10,16,C
0.30859375,0.8085291308659671,5.55859375,-3.262424920455019,-3.037642626655206,0.8555665302072406,0.0,0.3828125,1.0,0.9683794466403162,0.932806324110672,0.9130434782608695,0.9090909090909091,0.9011857707509882,0.9831852076726165,0.8660075824755578,0.2703445255756378,0.6996259093284607,0.25318199396133423,0.5235265493392944,256,control_chemistry_organic,control,0,11,16,C
0.36328125,2.6764182120744713,5.67578125,-1.966440444638671,-0.7930791094222963,0.7613083278831279,0.0,0.2734375,1.0,0.984313725490196,0.9647058823529412,0.9490196078431372,0.9254901960784314,0.8745098039215686,0.9725768274852782,0.9275588926581824,0.27015358209609985,0.7706241011619568,0.3010879158973694,0.5712414979934692,256,control_chemistry_organic,control,0,12,16,C
0.265625,-0.6590980043692862,5.37109375,-5.336000081761176,-5.656300063426934,1.1316319626614608,0.0,0.46875,1.0,0.952,0.908,0.884,0.88,0.876,0.9804221489021596,0.8162157895609969,0.3262808620929718,0.7477340698242188,0.3529552221298218,0.6792360544204712,256,control_chemistry_organic,control,0,13,16,C
0.26953125,-0.5256773557115358,5.78125,-0.8000544164039579,0.32920264919415837,0.9564935964239385,0.0,0.4609375,1.0,0.9921875,0.9765625,0.953125,0.93359375,0.92578125,0.9818128573329078,0.9803260871287435,0.35843318700790405,0.9305999875068665,0.3497283458709717,0.708161473274231,256,control_chemistry_organic,control,0,14,16,C
0.29296875,0.2748465362349659,5.7890625,-0.7136554513495348,0.32920264919415837,0.8463475360904933,0.0,0.4140625,1.0,0.9921875,0.9765625,0.95703125,0.9375,0.92578125,0.9822228862615993,0.9943388145185859,0.2638152241706848,0.6029723882675171,0.32197055220603943,0.5857857465744019,256,control_chemistry_organic,control,0,15,16,C
0.2421875,-1.459621896315788,5.71875,-1.4912461368393435,-1.1671730289611146,0.9732049236249694,0.0,0.515625,1.0,0.984251968503937,0.9645669291338582,0.9448818897637795,0.937007874015748,0.9330708661417323,0.9865128684700791,0.9256890250970369,0.29776957631111145,0.7643522620201111,0.3896677792072296,0.6874373555183411,256,control_chemistry_organic,control,0,16,16,C
0.33203125,1.6090530228124689,5.8984375,0.4959300594123899,-0.04489127034465989,0.8237827910347796,0.011764705882352941,0.3359375,1.0,0.9921568627450981,0.9882352941176471,0.984313725490196,0.9803921568627451,0.9764705882352941,0.9960237907202696,0.9999944443325324,0.37797802686691284,0.7606951594352722,0.38578349351882935,0.7637615203857422,256,control_chemistry_organic,control,0,17,16,C
0.2734375,-0.39225670705378557,5.75390625,-1.102450794094439,0.32920264919415837,0.8941674850737096,0.0,0.453125,1.0,0.9921875,0.97265625,0.9453125,0.92578125,0.91796875,0.9797194477510994,0.9739282462739889,0.2827873229980469,0.6750468015670776,0.3486771881580353,0.6314644813537598,256,control_chemistry_organic,control,0,18,16,C
0.30859375,0.8085291308659671,5.59375,-2.8736295777101146,-3.7858304657328423,0.9538996581152241,0.0,0.3828125,1.0,0.9681274900398407,0.9482071713147411,0.9362549800796812,0.9322709163346613,0.9203187250996016,0.988245922894304,0.9496206726028538,0.31237202882766724,0.6860256195068359,0.277265727519989,0.5896377563476562,256,control_chemistry_organic,control,0,19,16,C
0.32421875,1.3422117254969683,5.63671875,-2.398435269910787,-3.411736546194024,0.9792128450485121,0.0,0.3515625,1.0,0.9721115537848606,0.9561752988047809,0.9442231075697212,0.9402390438247012,0.9362549800796812,0.990844911312122,0.9123198016897551,0.3026908338069916,0.728045642375946,0.39620333909988403,0.6988941431045532,256,control_chemistry_organic,control,0,20,16,C
0.2578125,-0.9259393016847868,5.8203125,-0.368059591131842,-0.4189851898834781,0.8646645953438935,0.0,0.484375,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9411764705882353,0.9882907891208811,0.9526571951007503,0.266648530960083,0.8050851225852966,0.28241437673568726,0.5490629076957703,256,control_chemistry_organic,control,0,21,16,C
0.26953125,-0.5256773557115358,5.86328125,0.10713471666748554,-0.4189851898834781,0.863310853672861,0.014492753623188406,0.4609375,1.0,0.9882352941176471,0.9803921568627451,0.9764705882352941,0.9725490196078431,0.9686274509803922,0.9952001887405004,0.9739291875786131,0.33306121826171875,0.8202255964279175,0.2770348787307739,0.6100960969924927,256,control_chemistry_organic,control,0,22,16,C
0.28125,-0.125415409738285,5.828125,-0.2816606260774188,-0.4189851898834781,0.8423822077913496,0.027777777777777776,0.4375,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9490196078431372,0.9899324772250883,0.9877372911899698,0.32323896884918213,0.7673285007476807,0.3142889142036438,0.6375278234481812,256,control_chemistry_organic,control,0,23,16,C
0.3046875,0.6751084822082168,5.78125,-0.8000544164039579,0.32920264919415837,1.1483089407982372,0.01282051282051282,0.390625,1.0,0.9921875,0.9765625,0.953125,0.93359375,0.92578125,0.9818128573329078,0.9803260871287435,0.34494519233703613,0.7764784097671509,0.28313422203063965,0.6280794143676758,256,control_chemistry_organic,control,0,24,16,C
0.30078125,0.5416878335504666,5.86328125,0.10713471666748554,-0.4189851898834781,0.8972430870571687,0.0,0.3984375,1.0,0.9882352941176471,0.9803921568627451,0.9764705882352941,0.9725490196078431,0.9686274509803922,0.9952001887405004,0.9739291875786131,0.3458344042301178,0.8792521953582764,0.37104332447052,0.7168777585029602,256,control_chemistry_organic,control,0,25,16,C
0.3046875,0.6751084822082168,5.921875,0.7551269545756595,0.7032965687329766,0.6699492518094189,0.0,0.390625,1.0,0.99609375,0.9921875,0.984375,0.9765625,0.97265625,0.9936706506001096,0.9846095996310225,0.23993369936943054,0.7439770698547363,0.40588653087615967,0.6458202600479126,256,control_chemistry_organic,control,0,26,16,C
0.22265625,-2.1267251396045395,5.828125,-0.2816606260774188,-0.4189851898834781,0.9854181745748708,0.0,0.5546875,1.0,0.9882352941176471,0.9803921568627451,0.9725490196078431,0.9607843137254902,0.9490196078431372,0.9899324772250883,0.9877372911899698,0.3636099100112915,0.7961573004722595,0.34184062480926514,0.7054505348205566,256,control_chemistry_organic,control,0,27,16,C
0.33984375,1.8758943201279696,5.77734375,-0.8432538989311695,0.32920264919415837,0.753801151073035,0.0,0.3203125,1.0,0.9921875,0.9765625,0.953125,0.93359375,0.921875,0.9809829213557043,0.9905278586853427,0.3298187851905823,0.8486939668655396,0.2894320487976074,0.6192507743835449,256,control_chemistry_organic,control,0,28,16,C
0.26953125,-0.5256773557115358,5.84765625,-0.06566321344136083,-0.4189851898834781,0.8058585483817866,0.014492753623188406,0.4609375,1.0,0.9882352941176471,0.9803921568627451,0.9764705882352941,0.9686274509803922,0.9568627450980393,0.9923698281219457,0.9690282696580095,0.3781967759132385,0.7539536952972412,0.2652832567691803,0.6434800028800964,256,control_chemistry_organic,control,0,29,16,C
0.26171875,-0.7925186530270365,5.6328125,-2.4416347524379987,-0.7930791094222963,1.096862747647304,0.014925373134328358,0.4765625,1.0,0.984313725490196,0.9529411764705882,0.9176470588235294,0.9019607843137255,0.8980392156862745,0.9764376310894489,0.9239479011780246,0.22313499450683594,0.6057478189468384,0.32399222254753113,0.5471272468566895,256,control_chemistry_organic,control,1,0,16,C
0.21875,-2.2601457882622897,5.8671875,0.15033419919469715,0.7032965687329766,0.920756633175046,0.03571428571428571,0.5625,1.0,0.99609375,0.9921875,0.98046875,0.95703125,0.94140625,0.985209541466651,0.9435235181662694,0.2106982171535492,0.5671349763870239,0.2303762137889862,0.4410744309425354,256,control_chemistry_organic,control,1,1,16,C
0.2421875,-1.459621896315788,5.8671875,0.15033419919469715,0.7032965687329766,1.074397916805858,0.016129032258064516,0.515625,1.0,0.99609375,0.9921875,0.98046875,0.95703125,0.94140625,0.985209541466651,0.9435235181662694,0.2310616374015808,0.6200050115585327,0.19951078295707703,0.43057239055633545,256,control_chemistry_organic,control,1,2,16,C
