topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
control_geography_rivers,0,control,30,0.060592512334413276,0.060592512334413276,0.012801301053336357,0.012801301053336357,0.05006274965583428,0.05006274965583428,-0.35007227902994115,0.35007227902994115,0.05553075807254256,0.05553075807254256
control_geography_rivers,1,control,30,-0.03561329890666682,0.03561329890666682,-0.05253174488954569,0.05253174488954569,-0.19287686086733344,0.19287686086733344,-0.003007236560332683,0.003007236560332683,-0.19118133470566498,0.19118133470566498
control_geography_rivers,2,control,30,-0.3107754726011635,0.3107754726011635,-0.2564733995617737,0.2564733995617737,0.061016886391825606,0.061016886391825606,0.25252403372009186,0.25252403372009186,0.02885436545312669,0.02885436545312669
control_geography_rivers,3,control,30,-0.14367352117013962,0.14367352117013962,-0.14901857171780603,0.14901857171780603,0.03139170163831489,0.03139170163831489,0.07020983364218675,0.07020983364218675,-0.02164718306844165,0.02164718306844165
control_geography_rivers,4,control,30,0.26466235011261385,0.26466235011261385,-0.33518487210604864,0.33518487210604864,0.04852013707014774,0.04852013707014774,-0.346598674973852,0.346598674973852,0.13948567224705558,0.13948567224705558
control_geology_plate_tectonics,0,control,30,-0.11815648888375323,0.11815648888375323,0.0895646962145653,0.0895646962145653,-0.04378307212521625,0.04378307212521625,0.18683587309434205,0.18683587309434205,,
control_geology_plate_tectonics,1,control,30,-0.4375437765165316,0.4375437765165316,-0.08698729395571697,0.08698729395571697,0.16051815211888038,0.16051815211888038,0.05197058212709447,0.05197058212709447,0.14954109160450488,0.14954109160450488
control_geology_plate_tectonics,2,control,30,-0.045359471002140765,0.045359471002140765,-0.05051965291291588,0.05051965291291588,-0.1510687809286129,0.1510687809286129,-0.08489770804978157,0.08489770804978157,-0.3225995105457918,0.3225995105457918
control_geology_plate_tectonics,3,control,30,0.03053062997646179,0.03053062997646179,-0.33229398670931937,0.33229398670931937,-0.07627053439778733,0.07627053439778733,-0.17087962124948464,0.17087962124948464,-0.29001486601481685,0.29001486601481685
control_geology_plate_tectonics,4,control,30,-0.09256225811742241,0.09256225811742241,0.1537125939369074,0.1537125939369074,0.19904260211100896,0.19904260211100896,0.022824998710066734,0.022824998710066734,0.10875973123792528,0.10875973123792528
control_history_renaissance,0,control,30,0.09487978248049543,0.09487978248049543,-0.3062817887154005,0.3062817887154005,0.18575523493819102,0.18575523493819102,-0.16646942408343254,0.16646942408343254,0.1535523229082621,0.1535523229082621
control_history_renaissance,1,control,30,-0.03881586763977626,0.03881586763977626,0.05874209025846843,0.05874209025846843,-0.16863252523671468,0.16863252523671468,-0.02171937458366793,0.02171937458366793,-0.0382953301688415,0.0382953301688415
control_history_renaissance,2,control,30,0.47006979481198746,0.47006979481198746,0.12144909931877278,0.12144909931877278,-0.22873056083515295,0.22873056083515295,-0.1408282959441509,0.1408282959441509,-0.018215570046172865,0.018215570046172865
control_history_renaissance,3,control,30,-0.12426740901813435,0.12426740901813435,0.02131877675716585,0.02131877675716585,0.22698215575254002,0.22698215575254002,-0.14408979202303596,0.14408979202303596,0.01329357226990674,0.01329357226990674
control_history_renaissance,4,control,30,-0.15949556876373522,0.15949556876373522,-0.2519764542358715,0.2519764542358715,0.24208946375697005,0.24208946375697005,-0.06787539668397863,0.06787539668397863,0.2457334040274482,0.2457334040274482
control_language_etymology,0,control,30,0.0431549724071179,0.0431549724071179,0.19616815838854887,0.19616815838854887,-0.0016552456650700852,0.0016552456650700852,0.11072303529587696,0.11072303529587696,0.07232320407802642,0.07232320407802642
