cancel_rate,drift,mean_depth,mean_depth_excess,d2_excess,timing_cv,isolated_frac,growth_rate,Q_tail_1,Q_tail_2,Q_tail_3,Q_tail_4,Q_tail_5,Q_tail_6,r_plus,r_squared,mean_rho,mean_surp_base,mean_surp_inst,T_actual,topic,paraphrase_idx,seed,block_size,signal_choice
0.33203125,0.36419370821604813,5.90625,0.657638949935227,0.42217532026580007,0.9343531843023135,0.0,0.3359375,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.97265625,0.9952382820213871,0.9739216617740921,0.1532602608203888,0.2250434160232544,0.0717831701040268,256,geography_capitals,0,10,8,C
0.328125,1.4756323741547186,5.88671875,0.36633161183075513,0.32920264919415837,0.825718093792706,0.011904761904761904,0.34375,1.0,0.9921875,0.984375,0.98046875,0.97265625,0.95703125,0.9916224584292491,0.9399417021385229,0.1532602608203888,0.2250434160232544,0.0717831701040268,256,geography_capitals,0,10,16,C
0.3828125,0.09967974572964182,5.69140625,0.17932404582375255,0.21725524629139856,0.7973756956416467,0.0,0.234375,1.0,0.9802371541501976,0.9683794466403162,0.9565217391304348,0.9367588932806324,0.9169960474308301,0.9834798967891383,0.9804103402601242,0.20686456561088562,0.28339311480522156,0.07652854919433594,256,geography_capitals,0,11,4,C
0.32421875,0.06567427525207398,5.8515625,0.2812307202094231,0.42217532026580007,0.720366761434636,0.012048192771084338,0.3515625,1.0,0.9921875,0.984375,0.97265625,0.95703125,0.9453125,0.9875813598600222,0.9877008877842516,0.20686456561088562,0.28339311480522156,0.07652854919433594,256,geography_capitals,0,11,8,C
0.296875,0.40826718489271624,5.68359375,-1.880041479584248,-1.5412669484999328,0.9085008444100653,0.0,0.40625,1.0,0.9764705882352941,0.9490196078431372,0.9333333333333333,0.9254901960784314,0.9215686274509803,0.9860146479298554,0.893661865876102,0.20686456561088562,0.28339311480522156,0.07652854919433594,256,geography_capitals,0,11,16,C
0.46875,3.3246126958062567,5.73046875,0.32901022764658416,0.9853293493418014,0.7793708551506504,0.0,0.0625,1.0,0.99609375,0.98828125,0.97265625,0.921875,0.8515625,0.9624150611751008,0.8601649012970893,0.1991690844297409,0.32704493403434753,0.12787586450576782,256,geography_capitals,0,12,4,C
0.41796875,3.6479074708197636,4.98828125,-5.6606420490336244,-5.853403764766367,0.8860847970254108,0.0,0.1640625,1.0,0.9094650205761317,0.8641975308641975,0.8436213991769548,0.8271604938271605,0.8106995884773662,0.9729991631953925,0.9501219252057855,0.1991690844297409,0.32704493403434753,0.12787586450576782,256,geography_capitals,0,12,8,C
0.34375,2.00931496878572,5.83203125,-0.23846114355020723,0.32920264919415837,0.8452366994183964,0.0,0.3125,1.0,0.9921875,0.98046875,0.96484375,0.953125,0.94140625,0.9867525915540151,0.997600847617297,0.1991690844297409,0.32704493403434753,0.12787586450576782,256,geography_capitals,0,12,16,C
0.421875,1.5655583594008304,4.94140625,-2.6946506451746144,-3.1842157815032426,0.7802231844135592,0.0,0.15625,1.0,0.9041666666666667,0.8708333333333333,0.8541666666666666,0.8291666666666667,0.8125,0.9740598771465152,0.9881433673969265,0.188661590218544,0.29926812648773193,0.11060652136802673,256,geography_capitals,0,13,4,C
0.3046875,-0.6806243071578614,5.8984375,0.6038663456886836,0.42217532026580007,0.7706597696097355,0.01282051282051282,0.390625,1.0,0.9921875,0.984375,0.98046875,0.9765625,0.96484375,0.9936343441389749,0.9540386822183822,0.188661590218544,0.29926812648773193,0.11060652136802673,256,geography_capitals,0,13,8,C
